行政區,區段數總計筆數,一般區段價區段筆數,繁榮街道路線價區段筆數,一般路線價區段筆數,最高一般區段價_元/平方公尺,最低一般區段價_元/平方公尺,最高繁榮街道路線價_元/平方公尺,最低繁榮街道路線價_元/平方公尺,最高一般路線價_元/平方公尺,最低一般路線價_元/平方公尺,最高宗地地價_元/平方公尺
松山區,167,89,6,72,479000,9800,820000,510000,694000,171000,984000
信義區,293,203,-,90,1129000,4500,-,-,696000,104000,1129000
大安區,244,123,20,101,940000,4800,1121000,542000,825000,174000,1185696
中山區,300,154,26,120,465000,3800,783000,331000,670000,100000,896328
中正區,230,70,50,110,1201000,9500,1257000,415000,662000,142000,1210713
大同區,218,82,31,105,522000,9800,750000,278000,609000,132000,900000
萬華區,283,80,37,166,297000,9800,762000,296000,509000,112000,1009250
文山區,475,409,-,66,392000,1600,-,-,409000,89600,409000
南港區,215,166,-,49,340000,3800,-,-,439000,103000,439000
內湖區,388,319,-,69,352000,4000,-,-,598000,127000,598000
士林區,382,259,-,123,434000,900,-,-,501000,133000,501000
北投區,392,342,-,50,271000,900,-,-,398000,74000,398000
